ano;sigla_uf;sigla_uf_nome;id_municipio_nome;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;tempo_emprego;quantidade_horas_contratadas;indicador_trabalho_parcial;indicador_trabalho_intermitente;valor_remuneracao_media;cnae_2_subclasse_descricao_secao;idade;grau_instrucao_apos_2005;sexo;raca_cor;tamanho_estabelecimento;natureza_juridica_descricao;indicador_simples;salario_hora;ln_salario_hora
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;5;0;;7.0;44;Não;Não;2907.28;Indústrias De Transformação;32;MEDIO COMPL;Masculino;Branca;De 20 a 49;Sociedade Empresária Limitada;Sim;16.518636363636364;2.8044892201117713
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;16.2;44;Não;Não;2878.4;Indústrias De Transformação;40;MEDIO COMPL;Masculino;Não identificado;Até 4;Sociedade Empresária Limitada;Sim;16.354545454545455;2.794505868158117
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;5;Rescisão sem justa causa por iniciativa do empregador.;56.2;40;Não;Não;2978.56;Indústrias De Transformação;50;MEDIO COMPL;Masculino;Preta;De 20 a 49;Sociedade Empresária Limitada;Não;18.616;2.9240214259999906
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;29.0;44;Não;Não;2841.72;Indústrias De Transformação;26;SUP. COMP;Feminino;Parda;De 100 a 249;Sociedade Empresária Limitada;Não;16.146136363636362;2.781680786597779
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Sim;Reemprego;10;0;;2.5;44;Não;Não;2617.89;Indústrias De Transformação;25;MEDIO COMPL;Masculino;Branca;De 100 a 249;Sociedade Empresária Limitada;Sim;14.874374999999999;2.69963993374224
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;116.3;44;Não;Não;4486.26;Indústrias De Transformação;46;MEDIO COMPL;Masculino;Branca;De 5 a 9;Sociedade Empresária Limitada;Sim;25.49011363636364;3.238290676454338
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;27.3;40;Não;Não;2524.05;Indústrias De Transformação;28;MEDIO COMPL;Feminino;Parda;De 5 a 9;Sociedade Empresária Limitada;Sim;15.775312500000002;2.7584462180567386
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;42.0;43;Não;Não;1870.32;Indústrias De Transformação;19;MEDIO INCOMP;Masculino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;10.873953488372093;2.386370341389962
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;34.0;44;Não;Não;3588.0;Indústrias De Transformação;35;FUND COMPL;Masculino;Branca;De 100 a 249;Sociedade Empresária Limitada;Não;20.386363636363637;3.014866228140535
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;9;10;Término do contrato de trabalho.;1.5;44;Não;Não;2038.39;Indústrias De Transformação;27;MEDIO COMPL;Masculino;Branca;De 20 a 49;Sociedade Empresária Limitada;Não;11.581761363636364;2.4494315645191818
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;29.7;44;Não;Não;2155.27;Indústrias De Transformação;35;FUND COMPL;Feminino;Branca;De 20 a 49;Sociedade Empresária Limitada;Não;12.245852272727273;2.5051872896747587
